date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,post_molt_cw_mm,post_molt_mass_g,digital_ri,ca,notes_observations,period
6/10/21,10:36,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Super fluorescent,FALSE
6/18/21,10:38,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0014,N,NA,NA,NA,NA,Soft exoskeleton in cell, maybe ate B-GG,FALSE
7/1/21,10:16,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0045,N,NA,NA,NA,NA,Barely fluorescing,FALSE
7/8/21,9:32,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0073,N,NA,NA,NA,NA,NA,FALSE
7/15/21,9:40,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0109,N,NA,NA,NA,NA,Just tips fluorescing,FALSE
6/7/21,9:13,WL,BGKK,Removed,M,NA,7,A,3,L,44,45,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGKK,Removed,M,NA,6,A,3,L,92,93,Y,NA,NA,NA,NA,Barely fluorescing,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/21/21,9:36,WL,BGKR,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/28/21,10:12,WL,BGKR,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Barely Fluorescing,FALSE
7/5/21,8:58,WL,BGKR,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,Lathargic,FALSE
7/12/21,14:55,WL,BGKR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Lathargic,FALSE
7/19/21,10:26,WL,BGKR,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/3/21,9:17,WL,BGKY,Molted,M,NA,NA,A,3,L,16,17,N,NA,NA,NA,NA,NA,TRUE
6/10/21,9:31,WL,BGKY,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/7/21,9:13,WL,BGR,Removed,M,NA,3.5,A,3,L,60,61,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGR,Removed,M,NA,3,A,3,L,86,84,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRG,Removed,M,NA,4.5,A,3,L,96,97,Y,NA,NA,NA,NA,Very bubbly blood sample, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRK,Removed,M,NA,3,A,3,L,133,136,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRR,Removed,M,NA,3.5,A,3,L,115,116,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/21/21,9:36,WL,BGW,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/28/21,10:12,WL,BGW,Removed,M,NA,6,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/5/21,8:58,WL,BGW,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/12/21,14:55,WL,BGW,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/19/21,10:26,WL,BGW,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
