crab_id,hemo_ri,hemo_col
KWWW,NA,NA
KWYW,5.5,2
KWYW,3.5,1
KWYW,3.5,1
KYBW,5,1
KWKK,9,5
KYKR,4,1
KYKR,6,2
KYKR,3,1
KYWR,5.5,1
KYWR,4,3
KYWR,4.5,3
KYWW,7,4
KYWW,8,3
KYWW,7,3
KYYY,6.5,4
KYYY,6.5,3
KYYY,6,3
KYYW,8,3
KYYW,5,1
KYYW,6.5,3
KYYY,6,3
OBB,NA,NA
OBB,NA,NA
OBB,NA,NA
OBBG,3,NA
OBBW,4.5,NA
OBG,8,NA
OBG,NA,NA
OBK,4,NA
OBKB,5.5,NA
OBKG,4.5,NA
OBRR,11.5,NA
OBRR,7,NA
OBRW,NA,NA
OBRW,NA,NA
OBRW,10.5,NA
OBRW,6,NA
OBWB,5,NA
OBWB,1.5,NA
OBWK,NA,NA
OBWK,NA,NA
OBWY,10.5,NA
OBYG,NA,NA
OBYG,NA,NA
OBYK,NA,NA
OBYK,NA,NA
OBYK,NA,NA
OBYK,NA,NA
OBYK,NA,NA
OBYK,NA,NA
OBYR,NA,NA
OBYR,NA,NA
OBYR,NA,NA
PB,6.5,NA
PB,7,NA
PB,6.5,NA
PB,6.5,NA
PB,6.5,NA
PB,6,NA
PBBG,NA,NA
PBBK,9.5,NA
PBBK,9,NA
PBBK,9,NA
PBBK,8,NA
PBBK,7.5,NA
PBBK,8,NA
NA,NA,NA
NA,NA,NA
PBBY,7.5,NA
PBBY,7,NA
PBBY,6.5,NA
PBBY,5.5,NA
PBBY,5,NA
PBBY,4.5,NA
PBGG,10.5,NA
PBGG,8,NA
PBGG,8,NA
PBGG,12,NA
PBGG,12,NA
PBGG,11,NA
PBGG,10.5,NA
PBGG,8.5,NA
PBGW,7,NA
PBGW,6.5,NA
PBGW,6,NA
PBGW,5.5,NA
PBGY,13,NA
PBGY,9,NA
PBGY,8,NA
PBGY,11,NA
PBGY,12.5,NA
PBGY,10,NA
PBGY,9,NA
PBRB,8,NA
PBRB,7.5,NA
PBRB,7.5,NA
PBRB,6.5,NA
PBRB,6,NA
PBRB,5.5,NA
PBRB,5.5,NA
PBRG,6,NA
PBRK,8.5,NA
PBRK,10,NA
PBRK,9,NA
PBRK,8,NA
PBRK,6,NA
PBW,9.5,NA
PBWB,8,NA
PBWB,8,NA
PBWB,7,NA
PBWB,7.5,NA
PBWB,8,NA
PBWB,8,NA
PBWB,6.5,NA
PBWR,NA,NA
PBWR,NA,NA
PBWR,NA,NA
PBWR,NA,NA
PBWR,NA,NA
PBWR,NA,NA
PBWW,8,NA
PBWW,8,NA
PBWW,8,NA
PBWW,7.5,NA
PBWW,7,NA
PBWW,6.5,NA
PBYK,9,NA
PBYK,8.5,NA
PBYK,8,NA
PBYK,8,NA
PBYK,7.5,NA
PBYK,7,NA
PBYW,9,NA
PBYW,8,NA
PBYW,5,NA
PBYY,7,NA
PGG,8,NA
PGG,7,NA
PGG,6,NA
PGG,5.5,NA
PGG,5.5,NA
