date,condo_id,crab_id,sex,hemo_color,hemo_ri,status,shell_hardness,cw_post_molt,mass_post_molt,digital_ri,ca,days_from_molt,pre_post
8/10/21,CML,YYY,F,NA,9.5,A,3,NA,NA,NA,NA,14,NA
8/13/21,CML,YYY,F,NA,9.5,A,3,NA,NA,NA,NA,11,NA
8/17/21,CML,YYY,F,NA,9,A,3,NA,NA,NA,NA,7,NA
8/19/21,CML,YYY,F,NA,8.5,A,2,NA,NA,NA,NA,5,pre
8/24/21,CML,YYY,F,NA,3,M,3,NA,NA,NA,NA,0,post
8/6/21,CML,YYYK,F,NA,7.5,A,3,NA,NA,NA,NA,21,NA
8/10/21,CML,YYYK,F,NA,10.5,A,3,NA,NA,NA,NA,17,NA
8/13/21,CML,YYYK,F,NA,10,A,3,NA,NA,NA,NA,14,NA
8/17/21,CML,YYYK,F,NA,8.5,A,3,NA,NA,NA,NA,10,NA
8/19/21,CML,YYYK,F,NA,9,A,3,NA,NA,NA,NA,8,NA
8/24/21,CML,YYYK,F,NA,8.5,A,2,NA,NA,NA,NA,3,pre
8/27/21,CML,YYYK,F,NA,4.5,M,1,NA,NA,NA,NA,0,post
