date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,digital_ri,ca,days_from_molt
5/23/22,WL,GGBY,Molted,M,3,11.00,A,3,NA,NA,NA,8
5/26/22,WL,GGBY,Molted,M,3,7.50,A,3,NA,NA,NA,5
5/31/22,WL,GGBY,Molted,M,NA,NA,M,2,53,NA,NA,0
5/31/22,WL,GGGW,Molted,M,3,10.50,A,3,NA,NA,NA,13
6/2/22,WL,GGGW,Molted,M,3,7.50,A,3,NA,NA,NA,11
6/6/22,WL,GGGW,Molted,M,3,9.00,A,3,NA,NA,NA,7
6/8/22,WL,GGGW,Molted,M,4,11.00,A,3,NA,NA,NA,5
6/13/22,WL,GGGW,Molted,M,3,7.00,P,3,NA,NA,NA,0
5/23/22,WL,GGGY,Molted,M,4,10.00,A,3,NA,NA,NA,10
5/26/22,WL,GGGY,Molted,M,3,7.00,A,3,NA,NA,NA,7
5/31/22,WL,GGGY,Molted,M,3,4.00,A,3,NA,NA,NA,2
6/2/22,WL,GGGY,Molted,M,3,4.50,M,2,60,NA,NA,0
5/19/22,WL,GGKG,Molted,M,4,12.50,A,3,NA,NA,NA,14
5/23/22,WL,GGKG,Molted,M,1,6.00,A,3,NA,NA,NA,10
5/26/22,WL,GGKG,Molted,M,4,9.00,A,3,NA,NA,NA,7
5/31/22,WL,GGKG,Molted,M,3,4.00,A,3,NA,NA,NA,2
6/2/22,WL,GGKG,Molted,M,1,4.00,M,2,61,NA,NA,0
5/19/22,WL,GGKR,Molted,M,3,9.50,A,3,NA,NA,NA,25
5/23/22,WL,GGKR,Molted,M,1,7.00,A,3,NA,NA,NA,21
5/26/22,WL,GGKR,Molted,M,1,6.00,A,3,NA,NA,NA,18
5/31/22,WL,GGKR,Molted,M,3,5.50,A,3,NA,NA,NA,13
6/2/22,WL,GGKR,Molted,M,3,4.50,A,3,NA,NA,NA,11
6/6/22,WL,GGKR,Molted,M,1,5.00,A,3,NA,NA,NA,7
6/8/22,WL,GGKR,Molted,M,3,4.50,A,3,NA,NA,NA,5
6/13/22,WL,GGKR,Molted,M,1,3.50,M,2,59,NA,NA,0
6/13/22,WL,GGW,Molted,M,2,4.00,A,3,NA,NA,NA,8
6/16/22,WL,GGW,Molted,M,3,11.00,A,3,NA,11.9,403,5
6/21/22,WL,GGW,Molted,M,2,4.00,M,2,62,NA,NA,0
7/18/22,WL,KRGR,Molted,F,4,10.00,A,3,NA,8.8,431,14
7/21/22,WL,KRGR,Molted,F,4,9.50,A,3,NA,10.5,396,11
7/26/22,WL,KRGR,Molted,F,5,8.50,A,3,NA,9.2,384,6
7/29/22,WL,KRGR,Molted,F,3,7.50,A,3,NA,NA,NA,3
8/1/22,WL,KRGR,Molted,F,NA,NA,M,NA,NA,NA,NA,0
6/10/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,18
6/14/21,WL,OBB,Molted,M,NA,5.50,A,3,NA,NA,NA,14
6/18/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,10
6/21/21,WL,OBB,Molted,M,NA,12.00,A,3,NA,NA,NA,7
6/24/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/28/21,WL,OBB,Molted,M,NA,6.00,M,2,NA,NA,NA,0
6/10/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,NA,14
6/14/21,WL,OBG,Molted,M,NA,8.00,A,3,NA,NA,NA,10
6/18/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,NA,6
6/21/21,WL,OBG,Molted,M,NA,NA,P,3,NA,NA,NA,3
6/24/21,WL,OBG,Molted,M,NA,NA,M,2,NA,NA,NA,0
