date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,Post-molt CW (mm),Post-molt mass (g),digital_ri,ca,Notes/Observations
8/6/21,NA,CML,YYY,Molted,F,NA,9,A,3,NA,yes,N,NA,NA,NA,NA,good halo
8/10/21,NA,CML,YYY,Molted,F,NA,9.5,A,3,NA,NA,N,NA,NA,NA,NA,no apparent change
8/13/21,NA,CML,YYY,Molted,F,NA,9.5,A,3,NA,101-0032,N,NA,NA,NA,NA,
8/17/21,NA,CML,YYY,Molted,F,NA,9,A,3,NA,NA,N,NA,NA,NA,NA,"ok halo, no noticeable changes"
8/19/21,NA,CML,YYY,Molted,F,NA,8.5,A,2,NA,yes,N,NA,NA,NA,NA,"Thurs showed good halo, imminent molt, cracked seam"
8/24/21,NA,CML,YYY,Molted,F,NA,3,M,3,NA,NA,N,NA,NA,NA,NA,aggressive
8/6/21,NA,CML,YYYG,Removed,F,NA,12,A,3,NA,yes,N,NA,NA,NA,NA,feisty/good halo
8/10/21,NA,CML,YYYG,Removed,F,NA,8,A,3,NA,NA,N,NA,NA,NA,NA,no apparent change
8/13/21,NA,CML,YYYG,Removed,F,NA,9,A,3,NA,101-0036,N,NA,NA,NA,NA,missing YY color bands
8/17/21,NA,CML,YYYG,Removed,F,NA,8.5,A,3,NA,NA,N,NA,NA,NA,NA,"halo, passive"
8/19/21,NA,CML,YYYG,Removed,F,NA,6.5,A,3,NA,yes,N,NA,NA,NA,NA,
8/24/21,NA,CML,YYYG,Removed,F,NA,7.5,A,3,NA,NA,N,NA,NA,NA,NA,no noticeable changes
8/27/21,NA,CML,YYYG,Removed,F,NA,7.5,A,3,NA,yes,N,NA,NA,NA,NA,"no noticeable changes,passive"
8/31/21,NA,CML,YYYG,Removed,F,NA,4.5,A,3,NA,NA,N,NA,NA,NA,NA,"no noticeable changes,passive"
9/3/21,NA,CML,YYYG,Removed,F,NA,6.5,A,3,NA,yes,N,NA,NA,NA,NA,"no noticeable changes,passive"
9/7/21,NA,CML,YYYG,Removed,F,NA,7,A,3,NA,yes,N,NA,NA,NA,NA,"no noticeable changes,passive"
8/6/21,NA,CML,YYYK,Molted,F,NA,7.5,A,3,NA,yes,N,NA,NA,NA,NA,early PM
8/10/21,NA,CML,YYYK,Molted,F,NA,10.5,A,3,NA,NA,N,NA,NA,NA,NA,no apparent change
8/13/21,NA,CML,YYYK,Molted,F,NA,10,A,3,NA,101-0037,N,NA,NA,NA,NA,
8/17/21,NA,CML,YYYK,Molted,F,NA,8.5,A,3,NA,NA,N,NA,NA,NA,NA,"no halo, passive"
8/19/21,NA,CML,YYYK,Molted,F,NA,9,A,3,NA,yes,N,NA,NA,NA,NA,"passive, good halo"
8/24/21,NA,CML,YYYK,Molted,F,NA,8.5,A,2,NA,NA,N,NA,NA,NA,NA,"close to molt, very passive, opaque"
8/27/21,NA,CML,YYYK,Molted,F,NA,4.5,M,1,NA,yes,N,NA,NA,NA,NA,"Molted, still soft"
8/6/21,NA,CML,YYYW,Removed,F,NA,9.5,A,3,NA,yes,N,NA,NA,NA,NA,
8/10/21,NA,CML,YYYW,Removed,F,NA,5,A,3,NA,NA,N,NA,NA,NA,NA,no apparent change
8/13/21,NA,CML,YYYW,Removed,F,NA,9.5,A,3,NA,101-0047,N,NA,NA,NA,NA,missing all color bands
8/17/21,NA,CML,YYYW,Removed,F,NA,11,A,3,NA,NA,N,NA,NA,NA,NA,no halo
8/19/21,NA,CML,YYYW,Removed,F,NA,13,A,3,NA,yes,N,NA,NA,NA,NA,ok halo
8/24/21,NA,CML,YYYW,Removed,F,NA,12.5,A,3,NA,NA,N,NA,NA,NA,NA,"no noticeable changes, high RI"
8/27/21,NA,CML,YYYW,Removed,F,NA,12,A,3,NA,yes,N,NA,NA,NA,NA,"no noticeable changes, blood very orange, high RI"
8/31/21,NA,CML,YYYW,Removed,F,NA,9.5,A,3,NA,NA,N,NA,NA,NA,NA,dropped leg blood very orange
9/3/21,NA,CML,YYYW,Removed,F,NA,8.5,A,3,NA,yes,N,NA,NA,NA,NA,"no noticeable changes, ok halo, passive"
9/7/21,NA,CML,YYYW,Removed,F,NA,8.5,A,3,NA,yes,N,NA,NA,NA,NA,"somewhat active, no other changes, blood very orange"
7/14/22,0:20,CML,K-BB,Missing,F,3,10,A,3,NA,NA,N,NA,NA,NA,NA,Potentially good pre-molt
7/15/22,11:30,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/18/22,11:05,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/19/22,13:00,CML,K-BB,Missing,F,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,
7/21/22,14:40,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/22/22,12:50,CML,K-BB,Missing,F,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
7/26/22,12:00,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/27/22,15:25,CML,K-BB,Missing,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
7/28/22,13:25,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/29/22,13:00,CML,K-BB,Missing,F,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
8/1/22,12:30,CML,K-BB,Missing,F,3,8,A,3,NA,NA,N,NA,NA,NA,NA,
8/3/22,10:10,CML,K-BB,Missing,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
8/5/22,11:00,CML,K-BB,Missing,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/8/22,12:47,CML,K-BB,Missing,F,1,7,A,3,NA,NA,N,NA,NA,NA,NA,
8/10/22,17:47,CML,K-BB,Missing,F,NA,NA,MIA,NA,NA,NA,N,NA,NA,NA,NA,
