date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end,period
5/19/22,WL,GGYG,Removed,M,2,8.5,A,3,55,47.1,NA,NA,start,FALSE
5/19/22,WL,GGYR,Removed,M,1,7.5,A,3,51,34.7,NA,NA,start,FALSE
5/31/22,WL,GGYW,Removed,M,1,5.5,A,3,57,54.4,NA,NA,start,FALSE
5/19/22,WL,GYGK,Removed,M,3,10,A,3,57,59.5,NA,NA,start,FALSE
5/19/22,WL,GYGW,Removed,M,3,11.5,A,3,46,26.2,NA,NA,start,FALSE
6/11/22,CML,K-BBG,Removed,M,3,7,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KB,Removed,F,2,6,A,3,47,30.9,NA,NA,start,FALSE
7/14/22,CML,K-BGK,Removed,F,2,5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KBBK,Removed,F,3,9,A,3,55,43.1,NA,NA,start,FALSE
7/18/22,WL,KBBR,Removed,F,4,7,A,3,52,42.1,7,375,start,FALSE
6/23/22,WL,KBBW,Removed,M,3,6,A,3,64,77.1,NA,NA,start,FALSE
7/18/22,WL,KBBY,Removed,F,3,11.5,A,3,50,28.5,6.3,420,start,FALSE
6/11/22,CML,K-GBW,Removed,M,3,13.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KBG,Removed,F,3,7,A,3,46,28.5,NA,NA,start,FALSE
7/12/22,CML,K-GGK,Removed,F,3,6,A,3,NA,NA,NA,NA,start,FALSE
7/14/22,CML,K-GGR,Removed,F,3,9,A,3,NA,NA,NA,NA,start,FALSE
7/18/22,WL,KBKB,Removed,F,3,7,A,3,59,51.9,7,374,start,FALSE
7/14/22,CML,K-GWK,Removed,F,2,4,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KBKY,Removed,F,3,5.5,A,3,59,59.3,NA,NA,start,FALSE
7/14/22,CML,K-GYR,Removed,F,2,3,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KBRR,Removed,F,3,7.5,A,3,52,40.5,NA,NA,start,FALSE
7/18/22,WL,KBWK,Removed,F,3,8,A,3,40,20.3,8.7,431,start,FALSE
8/22/22,WL,KBWR,Removed,F,2,5.5,A,3,52,40.5,NA,NA,start,FALSE
8/22/22,WL,KGBG,Removed,F,3,7,A,3,56,45.7,NA,NA,start,FALSE
8/22/22,WL,KGK,Removed,F,1,6.5,A,3,50,33.5,NA,NA,start,FALSE
8/1/22,WL,KGRK,Removed,F,1,4,A,3,44,24.5,NA,NA,start,FALSE
8/22/22,WL,KGWR,Removed,F,3,13,A,3,48,30.5,NA,NA,start,FALSE
8/22/22,WL,KGWY,Removed,F,1,8.5,A,3,46,27.2,NA,NA,start,FALSE
8/1/22,WL,KK,Removed,F,1,7.5,A,3,35,29,NA,NA,start,FALSE
6/16/22,WL,KKBK,Removed,M,2,6,A,3,55,49.2,7.2,448,start,FALSE
8/1/22,WL,KKK,Removed,F,2,6,A,3,51,31.5,NA,NA,start,FALSE
7/18/22,WL,KKKK,Removed,F,3,6,A,3,58,51.5,6.2,247,start,FALSE
8/1/22,WL,KKWK,Removed,M,2,6,A,3,41,19.9,NA,NA,start,FALSE
8/1/22,WL,KKYK,Removed,F,2,6,A,3,51,34.1,NA,NA,start,FALSE
8/1/22,WL,KRBK,Removed,F,NA,NA,D,,45,25,NA,NA,start,FALSE
7/18/22,WL,KRBW,Removed,M,NA,NA,D,NA,50,33.1,NA,NA,start,FALSE
7/18/22,WL,KRGW,Removed,F,3,5,A,3,50,34.7,NA,NA,start,FALSE
8/1/22,WL,KRK,Removed,F,1,4.5,A,3,44,22.5,NA,NA,start,FALSE
8/1/22,WL,KRRR,Removed,F,3,7,A,3,39,16.9,NA,NA,start,FALSE
8/1/22,WL,KRW,Removed,F,3,8,A,3,52,41.7,NA,NA,start,FALSE
6/16/22,WL,KRYR,Removed,M,1,4,A,3,63,61.4,4.4,291,start,FALSE
8/1/22,WL,KRYW,Removed,M,2,4.5,A,3,50,38.6,5,312,start,FALSE
8/1/22,WL,KWBK,Removed,F,3,4,A,3,44,21.6,NA,NA,start,FALSE
7/18/22,WL,KWGK,Removed,F,1,6,A,3,56,45.8,NA,NA,start,FALSE
8/1/22,WL,KWKK,Removed,F,4,6,A,3,58,31.5,NA,NA,start,FALSE
8/1/22,WL,KWKW,Removed,F,1,10,A,3,44,24.3,NA,NA,start,FALSE
