Date,Time,Condo ID,Crab ID,Outcome,Sex,Color,RI,Status,Shell Hardness,Black Light Fluorescence,Photo ID,Fed (Y/N),Post-molt CW (mm),Post-molt mass (g),Digital RI,Ca (ppm),Notes/Observations
7/8/21,9:32,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0063,N,NA,NA,NA,NA,Maybe ventral surface fluorescing; 11/10/22- Deleted duplicate entry
7/12/21,14:55,WL,BGBY,Removed,M,NA,5,A,3,L,NA,N,NA,NA,NA,NA,Lathargic
7/15/21,9:40,WL,BGBY,Removed,M,NA,NA,A,3,X,101-0100,N,NA,NA,NA,NA,NA
7/19/21,10:26,WL,BGBY,Removed,M,NA,5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluoresce in tips
7/22/21,8:50,WL,BGBY,Removed,M,NA,NA,A,3,X,101-0125,N,NA,NA,NA,NA,NA
6/3/21,9:17,WL,BGG,Molted,M,NA,NA,A,2,L,"20,21",N,NA,NA,NA,NA,NA
6/7/21,9:13,WL,BGG,Molted,M,NA,6.5,A,2,L,"54,55",Y,NA,NA,NA,NA,NA
6/10/21,9:31,WL,BGG,Molted,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,NA
6/14/21,14:33,WL,BGG,Molted,M,NA,9.5,A,2,L,"84,85",Y,NA,NA,NA,NA,NA
6/18/21,10:38,WL,BGG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Back & side of carapce cracked
6/21/21,9:36,WL,BGG,Molted,M,NA,5.5,M,1,L,NA,N,NA,NA,NA,NA,Molted - didn't do CW or weight because really squishy
6/18/21,10:38,WL,BGGG,NA,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGGG,NA,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGGG,NA,M,NA,NA,A,3,L,101-0026,N,NA,NA,NA,NA,NA
6/28/21,10:55,WL,BGGG,NA,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/1/21,10:16,WL,BGGG,NA,M,NA,NA,A,3,L,101-0058,N,NA,NA,NA,NA,Bright fluorescence 
7/5/21,8:58,WL,BGGG,NA,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/8/21,9:32,WL,BGGG,NA,M,NA,NA,A,3,L,101-0080,N,NA,NA,NA,NA,NA
7/12/21,14:55,WL,BGGG,NA,M,NA,6,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGGG,NA,M,NA,NA,A,3,L,101-0116,N,NA,NA,NA,NA,Barely fluorescing
7/19/21,10:26,WL,BGGG,NA,M,NA,5,A,3,L,NA,N,NA,NA,NA,NA,NA
6/10/21,11:30,WL,BGGK,Missing,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Barely fluoresced
6/14/21,14:33,WL,BGGK,Missing,M,NA,3.5,A,3,L,"111,112",Y,NA,NA,NA,NA,Lots of missing legs
6/18/21,10:38,WL,BGGK,Missing,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGGK,Missing,M,NA,5.5,A,3,L,NA,N,NA,NA,NA,NA,"Barely fluorescing, lots of shadowing, aggressive"
6/24/21,10:05,WL,BGGK,Missing,M,NA,NA,A,3,L,101-0025,N,NA,NA,NA,NA,NA
7/1/21,10:16,WL,BGGK,Missing,M,NA,NA,A,3,L,101-0053,N,NA,NA,NA,NA,Looks brand new
7/5/21,8:58,WL,BGGK,Missing,M,NA,5,A,3,L,NA,N,NA,NA,NA,NA,Just the tips of legs fluorescing
7/8/21,9:32,WL,BGGK,Missing,M,NA,NA,A,3,L,101-0079,N,NA,NA,NA,NA,Just tips fluorescing
6/18/21,10:38,WL,BGGR,Removed,F,NA,NA,A,3,"L,E",NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGGR,Removed,F,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
6/24/21,10:05,WL,BGGR,Removed,F,NA,NA,A,3,L,101-0015,N,NA,NA,NA,NA,NA
6/28/21,10:12,WL,BGGR,Removed,F,NA,7,A,3,X,NA,N,NA,NA,NA,NA,NA
7/1/21,10:16,WL,BGGR,Removed,F,NA,NA,A,3,L,101-0046,N,NA,NA,NA,NA,Barely fluorescing 
7/5/21,8:58,WL,BGGR,Removed,F,NA,5.5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
7/8/21,9:32,WL,BGGR,Removed,F,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,"Has small fresh egg mass, thrown out"
6/3/21,9:17,WL,BGGW,Removed,M,NA,NA,A,3,L,"24,25",N,NA,NA,NA,NA,NA
6/7/21,9:13,WL,BGGW,Removed,M,NA,8,A,3,L,58.59,Y,NA,NA,NA,NA,Couldn't get a good blood sample
6/10/21,9:31,WL,BGGW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/14/21,14:33,WL,BGGW,Removed,M,NA,7,A,3,L,"102,103",Y,NA,NA,NA,NA,Just tips of legs fluorescing
6/18/21,10:38,WL,BGGW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGGW,Removed,M,NA,9.5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
6/24/21,10:05,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0011,N,NA,NA,NA,NA,Just tips fluorescing
6/28/21,10:12,WL,BGGW,Removed,M,NA,9.5,A,3,L,NA,N,NA,NA,NA,NA,Barely Flourescing
7/1/21,10:16,WL,BGGW,Removed,M,NA,8.5,A,3,L,101-0040,N,NA,NA,NA,NA,NA
7/5/21,8:58,WL,BGGW,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,"Not much shadowing, barely fluorescing"
7/8/21,9:32,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0069,N,NA,NA,NA,NA,"No shadowing, just tips fluorescing; 11/10/22- Deleted duplicate entry"
7/12/21,14:55,WL,BGGW,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0106,N,NA,NA,NA,NA,"Thrown Out, barely fluorescing "
6/10/21,10:36,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Super fluorescent
6/14/21,14:33,WL,BGKG,Molted,M,NA,3.5,A,3,L,"78,79",Y,NA,NA,NA,NA,NA
6/18/21,10:38,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
