Crab ID,Condo ID,Cell ID,Date Added,Date Removed,Days in Condo,Time Added (24hr),CW (mm),Weight (g),Sex (M/F),# Limbs Missing,Outcome,Notes/Observations,,,,,,,,,,,,
GBRY,WL,E5,5/19/22,6/6/22,19,NA,52.0,41.6,M,0,Dead,,,,,,,,,,,,,
GBWB,WL,B5,5/19/22,6/13/22,26,NA,58.0,51.6,M,0,Removed,,,,,,,,,,,,,
GBWK,WL,D3,5/19/22,6/6/22,19,NA,57.0,54.6,M,0,Molted,,,,,,,,,,,,,
GBWR,WL,B5,6/13/22,7/11/22,29,NA,44.0,23.9,M,0,Removed,,,,,,,,,,,,,
GBWW,WL,C6,5/19/22,6/6/22,19,NA,50.0,36.5,M,0,Dead,Brought back to lab to film molting but died later that day,,,,,,,,,,,,
GBWY,WL,D6,5/19/22,6/13/22,26,NA,57.0,51.6,M,0,Removed,Tag arm fell off; retagged as GYW on 6/8/2022,,,,,,,,,,,,
GBY,WL,B3,5/19/22,6/13/22,26,NA,52.0,38.0,M,0,Removed,,,,,,,,,,,,,
GBYB,WL,C1,5/19/22,5/31/22,13,NA,48.0,30.4,M,0,Molted,Died during molt (see photo),,,,,,,,,,,,
GBYG,WL,A5,5/19/22,6/13/22,26,NA,48.0,34.3,M,0,Removed,,,,,,,,,,,,,
GBYR,WL,B6,5/19/22,6/6/22,19,NA,59.0,50.4,M,1,Dead,,,,,,,,,,,,,
GBYY,WL,E6,5/19/22,6/13/22,26,NA,57.0,56.4,M,0,Removed,,,,,,,,,,,,,
GGBG,WL,C5,5/19/22,6/13/22,26,NA,51.0,37.4,M,0,Removed,,,,,,,,,,,,,
GGBR,WL,D5,5/19/22,6/13/22,26,NA,55.0,48.1,M,0,Molted,"Molted, but body was missing following molt",,,,,,,,,,,,
GGBW,WL,A6,5/19/22,6/13/22,26,NA,60.0,66.5,M,1,Removed,,,,,,,,,,,,,
GGBY,WL,C2,5/19/22,5/31/22,13,NA,43.0,23.6,M,0,Molted,,,,,,,,,,,,,
GGG,WL,A4,6/13/22,7/11/22,29,NA,56.0,47.5,M,0,Removed,,,,,,,,,,,,,
GGGG,WL,E1,5/19/22,6/6/22,19,NA,48.0,28.5,M,0,Dead,,,,,,,,,,,,,
GGGW,WL,F3,5/31/22,6/13/22,14,NA,49.0,35.7,M,0,Molted,Died during molt ,,,,,,,,,,,,
GGGY,WL,C4,5/19/22,6/2/22,15,NA,50.0,37.8,M,0,Molted,,,,,,,,,,,,,
GGKG,WL,E3,5/19/22,6/2/22,15,NA,51.0,37.5,M,0,Molted,,,,,,,,,,,,,
GGKR,WL,B2,5/19/22,6/13/22,26,NA,51.0,41.1,M,0,Molted,,,,,,,,,,,,,
GGRK,WL,B4,5/19/22,6/13/22,26,NA,53.0,42.4,M,0,Removed,,,,,,,,,,,,,
GGRR,WL,A2,5/19/22,6/2/22,15,NA,46.0,28.5,M,0,Dead,,,,,,,,,,,,,
GGW,WL,B1,6/13/22,6/21/22,28,NA,52.0,43.3,M,0,Molted,,,,,,,,,,,,,
GGWG,WL,A6,6/13/22,6/21/22,9,NA,59.0,62.4,M,0,Dead,,,,,,,,,,,,,
GGWK,WL,A5,6/13/22,7/14/22,31,NA,66.0,84.5,M,0,Removed,,,,,,,,,,,,,
GGYG,WL,D2,5/19/22,6/13/22,26,NA,55.0,47.1,M,0,Removed,,,,,,,,,,,,,
GGYR,WL,D4,5/19/22,6/13/22,26,NA,51.0,34.7,M,1,Removed,,,,,,,,,,,,,
GGYW,WL,F2,5/31/22,6/21/22,22,NA,57.0,54.5,M,0,Removed,,,,,,,,,,,,,
GYGK,WL,A4,5/19/22,6/13/22,26,NA,57.0,59.5,M,0,Removed,One leg broke during processing,,,,,,,,,,,,
GYGW,WL,E2,5/19/22,6/13/22,26,NA,46.0,26.2,M,0,Removed,Retagged to GGKY on 5/6/2022,,,,,,,,,,,,
KB,WL,B2,8/1/22,8/22/22,22,NA,47.0,30.9,F,1,Removed,,,,,,,,,,,,,
KBBK,WL,B4,8/1/22,8/22/22,22,NA,55.0,43.1,F,1,Removed,,,,,,,,,,,,,
KBBR,WL,C1,7/18/22,8/1/22,14,NA,52.0,42.1,F,0,Removed,,,,,,,,,,,,,
KBBW,WL,A2,6/23/22,7/14/22,22,NA,64.0,77.1,M,1,Removed,,,,,,,,,,,,,
KBBY,WL,B6,7/18/22,8/9/22,22,NA,50.0,38.0,F,0,Removed,,,,,,,,,,,,,
KBG,WL,C1,8/1/22,8/22/22,22,NA,46.0,28.5,F,0,Removed,previously KBG,,,,,,,,,,,,
KBGR,WL,B5,8/22/22,9/15/22,24,NA,51.0,36.5,F,0,Dead,,,,,,,,,,,,,
KBKB,WL,A3,7/18/22,8/9/22,22,NA,59.0,51.9,F,0,Removed,developed eggs,,,,,,,,,,,,
KBKR,WL,A3,8/22/22,9/6/22,15,NA,45.0,25.3,F,0,Dead,,,,,,,,,,,,,
KBKY,WL,A1,8/1/22,8/22/22,22,NA,59.0,59.3,F,0,Removed,,,,,,,,,,,,,
KBRR,WL,D3,8/1/22,8/22/22,22,NA,52.0,38.9,F,0,Removed,,,,,,,,,,,,,
KBWK,WL,B1,7/18/22,7/21/22,3,NA,40.0,20.3,F,0,Removed,developed eggs,,,,,,,,,,,,
KBWR,WL,B4,8/22/22,9/22/22,31,NA,52.0,40.5,F,0,Removed,,,,,,,,,,,,,
KBWW,WL,B3,8/22/22,9/19/22,28,NA,52.0,39.5,F,0,Dead,,,,,,,,,,,,,
KGBG,WL,A5,8/22/22,9/22/22,31,NA,56.0,45.7,F,1,Removed,,,,,,,,,,,,,
KGG,WL,B2,8/22/22,9/19/22,28,NA,44.0,22.6,F,0,Dead,,,,,,,,,,,,,
KGK,WL,A4,8/22/22,9/22/22,31,NA,50.0,33.5,F,0,Removed,,,,,,,,,,,,,
KGKR,WL,A2,8/22/22,8/26/22,4,NA,53.0,40.3,F,0,Dead,,,,,,,,,,,,,
KGRK,WL,D5,8/1/22,8/22/22,22,NA,44.0,24.5,F,0,Removed,,,,,,,,,,,,,
KGWR,WL,A1,8/22/22,9/22/22,30,NA,48.0,30.5,F,0,Removed,,,,,,,,,,,,,
KGWY,WL,A6,8/22/22,9/22/22,31,NA,50.0,33.1,F,0,Removed,,,,,,,,,,,,,
KGYG,WL,B1,8/22/22,9/22/22,31,NA,46.0,27.2,F,0,Dead,died during molt,,,,,,,,,,,,
KK,WL,F6,8/1/22,8/22/22,22,NA,45.0,29.0,F,0,Removed,,,,,,,,,,,,,
KKBK,WL,D3,6/16/22,7/18/22,33,NA,55.0,49.2,M,0,Removed,,,,,,,,,,,,,
KKGK,WL,D5,6/16/22,6/23/22,8,NA,59.0,60.5,M,0,Missing,,,,,,,,,,,,,
KKK,WL,F4,8/1/22,8/22/22,22,NA,51.0,31.7,F,1.0,Removed,,,,,,,,,,,,,
KKKK,WL,A2,7/18/22,8/9/22,22,NA,58.0,51.5,F,0,Removed,developed eggs,,,,,,,,,,,,
KKWK,WL,E5,8/1/22,8/22/22,22,NA,41.0,19.9,F,1,Removed,,,,,,,,,,,,,
KKYK,WL,D2,8/1/22,8/22/22,22,NA,51.0,34.1,F,1,Removed,,,,,,,,,,,,,
KR,WL,A6,7/18/22,8/1/22,14,NA,46.0,29.3,F,0,Dead,,,,,,,,,,,,,
KRBK,WL,E4,8/1/22,8/22/22,22,NA,45.0,25.0,F,0,Removed,,,,,,,,,,,,,
KRBR,WL,D1,6/23/22,7/5/22,13,NA,54.0,45.2,M,0,Dead,,,,,,,,,,,,,
KRBW,WL,B1,7/18/22,8/18/22,31,NA,50.0,33.1,F,0,Removed,,,,,,,,,,,,,
KRGK,WL,C6,6/16/22,6/28/22,13,NA,56.0,49.0,M,0,Missing,,,,,,,,,,,,,
KRGR,WL,A1,7/18/22,8/1/22,14,NA,49.0,29.7,F,0,Molted,,,,,,,,,,,,,
KRGW,WL,B5,7/18/22,8/9/22,22,NA,50.0,34.7,F,1,Removed,,,,,,,,,,,,,
KRK,WL,D6,8/1/22,8/22/22,22,NA,44.0,22.5,F,0,Removed,,,,,,,,,,,,,
KRR,WL,B4,7/18/22,8/1/22,14,NA,45.0,29.4,F,0,Missing,,,,,,,,,,,,,
KRRR,WL,F1,8/1/22,8/22/22,22,NA,39.0,16.9,F,0,Removed,,,,,,,,,,,,,
KRW,WL,B3,8/1/22,8/22/22,22,NA,52.0,41.7,F,0,Removed,,,,,,,,,,,,,
KRWK,WL,C3,6/16/22,6/30/22,15,NA,60.0,63.0,M,1,Missing,,,,,,,,,,,,,
KRWR,WL,C5,6/16/22,6/28/22,13,NA,55.0,42.8,M,1,Missing,,,,,,,,,,,,,
KRWW,WL,C2,6/16/22,7/11/22,26,NA,59.0,55.4,M,0,Removed,,,,,,,,,,,,,
KRYR,WL,C1,6/16/22,7/11/22,26,NA,63.0,61.4,M,2,Removed,,,,,,,,,,,,,
KRYW,WL,C6,8/1/22,8/22/22,22,NA,50.0,38.6,F,0,Removed,,,,,,,,,,,,,
KWBK,WL,D4,8/1/22,8/22/22,22,NA,44.0,21.6,F,1,Removed,,,,,,,,,,,,,
KWBW,WL,E2,8/1/22,8/1/22,0,NA,44.0,23.5,F,0,Missing,"crossed out on info sheet, no additional note",,,,,,,,,,,,
KWGK,WL,B2,7/18/22,8/1/22,14,NA,56.0,45.8,F,1,Removed,developed eggs,,,,,,,,,,,,
KWGW,WL,D1,8/1/22,8/18/22,17,NA,48.0,30.1,F,0,Missing,,,,,,,,,,,,,
KWKK,WL,C5,7/29/22,8/22/22,24,NA,48.0,31.5,F,0,Removed,,,,,,,,,,,,,
KWKW,WL,E5,8/1/22,8/22/22,22,NA,44.0,24.3,F,0,Removed,,,,,,,,,,,,,
KWRK,WL,F3,8/1/22,8/22/22,22,NA,46.0,28.1,F,0.0,Removed,,,,,,,,,,,,,
KWRW,WL,F2,8/1/22,8/22/22,22,NA,42.0,21.3,F,0,Removed,,,,,,,,,,,,,
KWW,WL,C4,6/16/22,6/28/22,13,NA,59.0,64.8,M,1,Missing,,,,,,,,,,,,,
KWWK,WL,D4,6/16/22,7/5/22,20,NA,51.0,49.1,M,0,Dead,,,,,,,,,,,,,
KWWW,WL,A4,7/18/22,8/4/22,17,NA,49.0,32.3,F,0,Removed,developed eggs,,,,,,,,,,,,
