date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end
6/21/22,WL,GBG,Removed,M,2,9.5,A,3,NA,NA,NA,346,end
5/19/22,WL,GBGB,Molted,M,NA,NA,M,2,53,36.4,NA,NA,end
5/31/22,WL,GBGB,Molted,M,3,12,A,3,NA,NA,NA,NA,start
5/19/22,WL,GBGG,Molted,M,3,5,M,2,61,52.6,NA,NA,end
6/13/22,WL,GBGG,Molted,M,3,11.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GBGK,Removed,M,4,9,A,3,NA,NA,9,354,end
6/21/22,WL,GBGK,Removed,M,3,4.5,A,3,NA,NA,NA,NA,end
7/7/22,WL,GBGK,Removed,M,1,6,A,3,NA,NA,NA,NA,start
5/19/22,WL,GBGR,Removed,M,1,3.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GBGR,Removed,M,NA,NA,D,NA,NA,NA,NA,NA,end
5/19/22,WL,GBGW,Dead,M,3,9.5,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBGW,Dead,M,1,5,M,1,60,52.3,NA,NA,end
5/19/22,WL,GBGY,Molted,M,3,10,A,3,NA,NA,NA,NA,start
5/23/22,WL,GBGY,Molted,M,NA,NA,D,NA,NA,NA,NA,NA,end
5/19/22,WL,GBKR,Molted,M,1,3.5,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBKR,Molted,M,3,6.5,A,3,NA,NA,NA,NA,end
6/13/22,WL,GBRK,Removed,M,1,5,A,3,NA,NA,5.3,346,start
7/7/22,WL,GBRK,Removed,M,3,5.5,A,3,NA,NA,NA,NA,end
6/13/22,WL,GBRR,Missing,M,2,5,A,3,NA,NA,5.1,496,start
7/7/22,WL,GBRR,Missing,M,3,11,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBRY,Dead,M,1,3.5,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBRY,Dead,M,3,11,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBWB,Removed,M,4,10,A,3,NA,NA,NA,NA,start
6/13/22,WL,GBWB,Removed,M,3,8,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBWK,Molted,M,3,8.5,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBWK,Molted,M,3,10,A,3,NA,NA,NA,NA,end
