GBB,,,,
GBB,,GBB,9,11
GBB,,GBGB,3,6.386740331
GBB,,GBGG,8,
GBB,,GBGK,8,
GBB,,GBGR,8,
GBB,,GBGY,2,
GBB,,GBKR,5,
GBB,,GGBR,7,
GBGB,,GBRK,8,
GBGB,,GBWB,8,
GBGB,,GBWK,6,
GBGG,,GBWR,7,
GBGG,,GBWY,7,
GBGG,,GBY,8,
GBGG,,GBG,1,
GBGG,,GBYB,3,
GBGG,,GBYG,8,
GBGG,,GBYY,7,
GBGG,,GGBG,8,
GBGK,,GGBW,8,
GBGK,,GGBY,3,
GBGK,,GGG,8,
GBGK,,GGGW,5,
GBGK,,GGGY,5,
GBGK,,GGKG,5,
GBGK,,GGKR,8,
GBGR,,GGRK,8,
GBGR,,GGW,3,
GBGR,,GGWK,10,
GBGR,,GGYG,8,
GBGR,,GGYR,8,
GBGR,,GGYW,7,
GBGR,,GYGK,8,
GBGR,,GYGW,7,
GBGY,,KB,6,
GBGY,,KBBK,6,
GBKR,,KBBR,4,
GBKR,,KBBW,7,
GBKR,,KBBY,6,
GBKR,,KBG,6,
GBKR,,KBKB,6,
GGBR,,KBKY,6,
GBRK,,KBRR,6,
GBRK,,KBWK,1,
GBRK,,KYBW,4,
GBRK,,KBWR,9,
GBRK,,KGBG,10,
GBRK,,KGK,10,
GBRK,,KGRK,6,
GBRK,,KGWR,10,
GBWB,,KGWY,10,
GBWB,,KK,6,
GBWB,,KKBK,7,
GBWB,,KKK,6,
GBWB,,KKKK,7,
GBWB,,KKWK,6,
GBWB,,KKYK,5,
GBWB,,KRBK,5,
GBWK,,KRBW,10,
GBWK,,KRGR,4,
GBWK,,KRGW,7,
GBWK,,KRK,6,
GBWK,,KRRR,5,
GBWK,,KRW,6,
GBWR,,KRYR,9,
GBWR,,KRYW,6,
GBWR,,KWBK,6,
GBWR,,KWGK,4,
GBWR,,KWKK,5,
GBWR,,KWKW,6,
GBWR,,KWRK,6,
GBWY,,KWRW,6,
GBWY,,KWWW,5,
GBWY,,KYWW,7,
GBWY,,KWYW,7,
GBWY,,KYKR,6,
GBWY,,KYWR,6,
GBY,,KYY,1,
GBY,,KYYY,7,
GBY,,KYYW,7,
GBY,,UBBG,10,
GBY,,UBGK,10,
GBG,,UBGY,10,
GBY,,UBKK,10,
GBY,,UBRB,9,
GBY,,UGWW,10,
GBYB,,UBYB,5,
GBYB,,UBYW,10,
GBYB,,UGYK,5,
GBYG,,UGYR,1,
GBYG,,UGYY,10,
GBYG,,UYBK,10,
GBWY,,UYGR,10,
GBYG,,UYKR,10,
GBYG,,UYKY,10,
GBYG,,UYW,10,
GBYG,,K-BGK,10,
GBYG,,K-GGK,11,
GBYY,,K-GGR,10,
GBYY,,K-GWK,10,
GBYY,,K-GYR,10,
GBYY,,U-BB (U-YWY),6,
GBYY,,U-BBB,7,
GBYY,,U-BBW,5,
GBYY,,U-BBY (U-YRR),7,
GGBG,,U-BGB,5,
GGBG,,U-BGR,7,
GGBG,,U-BGW,7,
GGBG,,U-BK,7,
GGBG,,U-BKY (U-YYK),7,
GGBG,,U-BR,5,
GGBG,,U-BRG,7,
GGBG,,U-BRK (U-RYK),7,
GBGK,,U-BRR (U-WBK),7,
GGBR,,U-BRW,5,
GGBR,,U-BWB,5,
GGBR,,U-BWG,5,
GGBR,,U-BWR,5,
GGBR,,U-BWW,2,
GGBR,,U-BWY,7,
GGBW,,U-BYR,7,
GGBW,,U-BYY (U-GRR),7,
GGBW,,U-G (U-YRW),7,
GGBW,,U-GBG,5,
GGBW,,U-GBW,7,
GGBW,,U-GGG,5,
GGBW,,U-GGK,5,
GGBW,,U-GGR,7,
GGBY,,U-GKG (U-RK),7,
GGBY,,U-GKK,5,
GGBY,,U-GKR,2,
GGG,,U-GKW,5,
GGG,,U-GRG (U-YKK),7,
GGG,,U-GW (U-RBR),7,
GGG,,U-GWR,7,
GGG,,U-GWY,1,
GGG,,U-GYG,5,
GGG,,U-YBR,5,
GGG,,U-YBY,7,
GGGW,,U-YGK,7,
GGGW,,U-YGY,5,
GGGW,,U-YYR,7,
GGGW,,U-YYY,7,
GGGW,,R-W,6,
GGGY,,R-WGK,6,
GGGY,,R-KBK,6,
GGGY,,R-KWK,6,
GGGY,,R-BW,5,
GGKG,,R-BBY —> BY,6,
GGKG,,R-BRW,6,
GGKG,,R-BBK,6,
GGKG,,R-BYW,6,
GGKG,,R-BBG,6,
GGKR,,R-GGK,6,
GGKR,,R-RGR,6,
GGKR,,K-BBG,6,
GGKR,,R-KK,6,
GGKR,,R-GG,4,
GGKR,,R-RW,6,
GGKR,,R-RRK,5,
GGKR,,R-RYR,5,
GGRK,,R-RYW,5,
GGRK,,R-KKK,6,
GGRK,,R-RWR,5,
GGRK,,K-GBR,5,
GGRK,,K-BYG,3,
GGRK,,K-BGY,3,
GGRK,,R-BRG,3,
GGRK,,R-BGG,4,
GGW,,R-RGW,6,
GGW,,R-WRW,5,
GGW,,R-WYK,6,
GGWK,,R-WYW —> R-WW,6,
GGWK,,R-WWK,7,
GGWK,,R-RBW,7,
GGWK,,R-WGW,7,
GGWK,,R-WBW,7,
GGWK,,K-GBW,6,
GGWK,,R-GY,5,
GGWK,,R-GR,5,
GGWK,,R-BWG,5,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYG,,,,
GGYR,,,,
GGYR,,,,
GGYR,,,,
GGYR,,,,
GGYR,,,,
GGYR,,,,
