date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
6/18/21,WL,PGR,Removed,M,NA,NA,A,3,NA,NA,start
6/21/21,WL,BGG,Molted,M,NA,5.5,M,1,NA,NA,end
6/24/21,WL,BGKW,Missing,M,NA,NA,A,3,NA,NA,end
6/24/21,WL,OBG,Molted,M,NA,NA,M,2,NA,NA,end
6/24/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,start
6/24/21,WL,PBYY,Molted,M,NA,NA,A,3,NA,NA,start
6/25/21,CML,OB,Removed,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBBR,Dead,M,NA,8,A,3,NA,NA,start
6/25/21,CML,OBBY,Removed,M,NA,10,A,3,NA,NA,start
6/25/21,CML,OBGB,Dead,M,NA,8,A,3,NA,NA,start
6/25/21,CML,OBGG,Removed,M,NA,11,A,3,NA,NA,start
6/25/21,CML,OBGK,Dead,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBGR,Dead,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBGW,Dead,M,NA,7,A,3,NA,NA,start
6/25/21,CML,OBGY,Dead,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBKW,Dead,M,NA,5.5,A,3,NA,NA,start
6/25/21,CML,OBKY,Dead,M,NA,9.5,A,3,NA,NA,start
6/25/21,CML,OBRG,Removed,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBRK,Removed,M,NA,9.5,A,3,NA,NA,start
6/25/21,CML,OBRY,Removed,M,NA,9,A,3,NA,NA,start
6/25/21,CML,OBWG,Removed,M,NA,10,A,3,NA,NA,start
6/25/21,CML,OBWR,Dead,M,NA,6,A,3,NA,NA,start
6/25/21,CML,OBY,Removed,M,NA,8.5,A,3,NA,NA,start
6/25/21,CML,OBYB,Dead,M,NA,12,A,3,NA,NA,start
6/25/21,CML,OBYW,Dead,M,NA,10.5,A,3,NA,NA,start
6/25/21,CML,PBRY,Dead,M,NA,6.5,A,3,NA,NA,start
6/28/21,WL,BGWR,Dead,F,NA,8.5,A,3,NA,NA,end
6/28/21,WL,OBB,Molted,M,NA,6,M,2,NA,NA,end
6/28/21,WL,OBKK,Missing,M,NA,8.5,A,3,NA,NA,end
6/28/21,WL,OBYR,Molted,M,NA,6,M,2,NA,NA,end
6/28/21,WL,PBYY,Molted,M,NA,7,M,2,NA,NA,end
6/29/21,CML,OBBR,Dead,M,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBGY,Dead,M,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBKY,Dead,M,NA,9,A,3,NA,NA,end
7/1/21,WL,BGBG,Molted,M,NA,NA,M,3,NA,NA,end
7/1/21,CML,OBGW,Dead,M,NA,NA,D,NA,NA,NA,end
7/1/21,CML,OBKW,Dead,M,NA,NA,D,NA,NA,NA,end
7/1/21,CML,PBRY,Dead,M,NA,NA,D,NA,NA,NA,end
7/5/21,CML,OBYW,Dead,M,NA,NA,D,NA,NA,NA,end
7/5/21,CML,PBBR,Removed,M,NA,9,A,3,NA,NA,start
7/5/21,CML,PBK,Removed,M,NA,8,A,3,NA,NA,start
7/5/21,CML,PBRR,Removed,M,NA,7.5,A,3,NA,NA,start
7/9/21,CML,OBGK,Dead,M,NA,NA,D,NA,NA,NA,end
7/9/21,CML,PBGK,Removed,M,NA,NA,A,NA,NA,NA,start
7/12/21,WL,BG,Dead,F,NA,NA,D,NA,NA,NA,end
7/12/21,WL,OBRW,Molted,M,NA,5,M,1,NA,NA,end
7/12/21,WL,PBBY,Removed,F,NA,7.5,A,3,NA,NA,start
7/12/21,WL,PBY,Dead,F,NA,8,A,3,NA,NA,start
7/12/21,WL,PBYB,Dead,F,NA,7.6,A,3,NA,NA,start
7/13/21,CML,OBYB,Dead,M,NA,NA,D,NA,NA,NA,end
7/15/21,WL,BGBW,Dead,M,NA,NA,D,NA,NA,NA,end
7/15/21,WL,BGGW,Removed,M,NA,NA,A,3,NA,NA,end
7/15/21,WL,BGYR,Removed,M,NA,NA,A,3,NA,NA,end
7/15/21,CML,OBKY,Dead,M,NA,NA,D,NA,NA,NA,end
7/15/21,WL,PBBG,Molted,F,NA,13.5,A,3,NA,NA,start
7/15/21,WL,PBGG,Removed,F,NA,10.5,A,3,NA,NA,start
7/15/21,WL,PBGY,Removed,F,NA,13,A,3,NA,NA,start
7/15/21,WL,PBWW,Removed,F,NA,10.5,A,3,NA,NA,start
7/15/21,WL,PBYW,Molted,F,NA,10,A,3,NA,NA,start
7/15/21,WL,PGG,Removed,F,NA,8,A,3,NA,NA,start
7/19/21,WL,BGKG,Molted,M,NA,NA,M,1,NA,NA,end
7/19/21,WL,PBRB,Removed,F,NA,8,A,3,NA,NA,start
7/19/21,WL,PBRG,Molted,F,NA,11.5,A,3,NA,NA,start
7/19/21,WL,PBW,Molted,F,NA,9.5,A,3,NA,NA,start
7/19/21,WL,PBWB,Removed,F,NA,9,A,3,NA,NA,start
7/19/21,WL,PBWY,Dead,F,NA,8,A,3,NA,NA,start
7/20/21,CML,OBGB,Dead,M,NA,NA,D,NA,NA,NA,end
7/22/21,WL,BGBK,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,BGBY,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,BGKR,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,BGW,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,BGYG,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,OBW,Dead,M,NA,NA,D,NA,NA,NA,end
7/22/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PB,Removed,F,NA,8,A,3,NA,NA,start
7/22/21,WL,PBBG,Molted,F,NA,6.5,M,1,NA,NA,end
7/22/21,WL,PBBK,Removed,F,NA,10,A,3,NA,NA,start
7/22/21,WL,PBGR,Missing,F,NA,7.5,A,3,NA,NA,start
7/22/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PBR,Dead,F,NA,6.5,A,3,NA,NA,start
7/22/21,WL,PBRG,Molted,F,NA,6,M,1,NA,NA,end
7/22/21,WL,PBRG2,Dead,F,NA,5,A,3,NA,NA,start
7/22/21,WL,PBRK,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PBW,Molted,F,NA,5.5,M,1,NA,NA,end
7/22/21,WL,PBWG,Dead,M,NA,NA,D,NA,NA,NA,end
7/22/21,WL,PBWR,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PBYK,Removed,F,NA,9.5,A,3,NA,NA,start
7/22/21,WL,PBYR,Missing,F,NA,13,A,3,NA,NA,start
7/22/21,WL,PGR,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,YBBB,Removed,F,NA,9,A,3,NA,NA,start
7/22/21,WL,YBBG,Removed,F,NA,9,A,3,NA,NA,start
7/22/21,WL,YBBK,Dead,F,NA,10,A,3,NA,NA,start
7/22/21,WL,YBG,Dead,F,NA,9.5,A,3,NA,NA,start
7/22/21,WL,YBK,Dead,F,NA,6,A,3,NA,NA,start
7/22/21,WL,YBKY,Removed,F,NA,8.5,A,3,NA,NA,start
7/22/21,WL,YBRY,Dead,F,NA,6,A,3,NA,NA,start
7/22/21,WL,YBW,Removed,F,NA,7,A,3,NA,NA,start
7/22/21,WL,YBWG,Removed,F,NA,10,A,3,NA,NA,start
7/22/21,WL,YBWY,Removed,F,NA,8,A,3,NA,NA,start
7/22/21,WL,YBY,Molted,F,NA,12,A,3,NA,NA,start
7/22/21,WL,YBYB,Molted,F,NA,12,A,3,NA,NA,start
7/22/21,WL,YBYK,Removed,F,NA,9,A,3,NA,NA,start
7/22/21,WL,YBYW,Dead,F,NA,13,A,3,NA,NA,start
7/22/21,WL,YYG,Molted,F,NA,13.5,A,3,NA,NA,start
7/22/21,WL,YYGR,Dead,F,NA,6,A,3,NA,NA,start
7/22/21,WL,YYW,Dead,F,NA,9,A,3,NA,NA,start
7/23/21,CML,OB,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBBY,Removed,M,NA,6,A,3,NA,NA,end
7/23/21,CML,OBGG,Removed,M,NA,5,A,3,NA,NA,end
7/23/21,CML,OBGR,Dead,M,NA,NA,D,NA,NA,NA,end
7/23/21,CML,OBRG,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBRK,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBRY,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBWG,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBWR,Dead,M,NA,NA,D,NA,NA,NA,end
7/23/21,CML,OBY,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBBR,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBGK,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBK,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBRR,Removed,M,NA,NA,A,3,NA,NA,end
7/26/21,WL,PBYR,Missing,F,NA,NA,M/MIA,NA,NA,NA,end
7/26/21,WL,YBRY,Dead,F,NA,NA,D,NA,NA,NA,end
7/26/21,WL,YYG,Molted,F,NA,6,M,2,NA,NA,end
7/29/21,WL,YBK,Dead,F,NA,NA,D,NA,NA,NA,end
8/2/21,WL,PBY,Dead,F,NA,NA,D,NA,NA,NA,end
8/2/21,WL,PBYW,Molted,F,NA,5,M,1,NA,NA,end
8/6/21,CML,YB,Removed,F,NA,10,A,3,NA,NA,start
8/6/21,CML,YBBY,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBGR,Molted,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBGW,Molted,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YBGY,Removed,F,NA,10.5,A,3,NA,NA,start
8/6/21,CML,YBKG,Dead,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YBKW,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBR,Removed,F,NA,7.5,A,3,NA,NA,start
8/6/21,CML,YBRB,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YBRW,Dead,F,NA,13,A,3,NA,NA,start
8/6/21,CML,YBWW,Dead,F,NA,10.5,A,3,NA,NA,start
8/6/21,WL,YBY,Molted,F,NA,NA,D,NA,NA,NA,end
8/6/21,CML,YY,Removed,F,NA,8,A,3,NA,NA,start
8/6/21,CML,YYGW,Removed,F,NA,11,A,3,NA,NA,start
8/6/21,CML,YYGY,Molted,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YYK,Dead,F,NA,10,A,3,NA,NA,start
8/6/21,CML,YYR,Molted,F,NA,7.5,A,3,NA,NA,start
8/6/21,CML,YYY,Molted,F,NA,9,A,3,NA,NA,start
8/6/21,CML,YYYG,Removed,F,NA,12,A,3,NA,NA,start
8/6/21,CML,YYYK,Molted,F,NA,7.5,A,3,NA,NA,start
